style_id,collection,retail_price,color,band_color,gender,quarter,case_size,band_material
ES5212,Carlie mini,125.0,Rose gold,Blue,WOMEN,2022Q3,28.0,Leather
ES5213,Carlie mini,125.0,Silver,Cream,WOMEN,2022Q3,28.0,Leather
ES5214,Carlie mini,125.0,Silver,Brown,WOMEN,2022Q3,28.0,Leather
ES5215,Carlie mini,125.0,Gold,Brown,WOMEN,2022Q3,28.0,Leather
ES5208,Jacqueline,115.0,Silver,Brown,WOMEN,2022Q3,36.0,Leather
ES5207,Jacqueline,115.0,Rose gold,Brown,WOMEN,2022Q3,36.0,Leather
ES5216,Neutra,165.0,Two-tone,Two-Tone,WOMEN,2022Q3,36.0,No band material reported
ES5217,Neutra,165.0,Silver,Silver,WOMEN,2022Q3,36.0,Stainless Steel
ES5218,Neutra,165.0,Rose gold,Rose,WOMEN,2022Q3,36.0,No band material reported
ES5219,Neutra,165.0,Gold,Yellow,WOMEN,2022Q3,36.0,No band material reported
ES5220,Raquel,145.0,Gold,Yellow,WOMEN,2022Q3,23.0,No band material reported
ES5221,Raquel,145.0,Silver,Silver,WOMEN,2022Q3,23.0,Stainless Steel
ES5222,Raquel,145.0,Two-tone,Two-Tone,WOMEN,2022Q3,23.0,No band material reported
ES5235,Raquel,145.0,Gold,Black,WOMEN,2022Q3,23.0,Leather
ES5234,Raquel,145.0,Rose gold,Brown,WOMEN,2022Q3,23.0,Leather
ES5227,Raquel,155.0,Gold,Black,WOMEN,2022Q3,23.0,Leather
ES5228,Raquel,155.0,Rose gold,Brown,WOMEN,2022Q3,23.0,Leather
ES5206,Scarlette,135.0,Gold,Yellow,WOMEN,2022Q3,32.0,No band material reported
ME3226,Heritage,295.0,Gold,Yellow,WOMEN,2022Q3,38.0,No band material reported
ME3227,Heritage,295.0,Two-tone,Two-Tone,WOMEN,2022Q3,38.0,No band material reported
ME3228,Heritage,295.0,Two-tone,Two-Tone,WOMEN,2022Q3,38.0,No band material reported
ME3229,Heritage,295.0,Silver,Silver,WOMEN,2022Q3,38.0,No band material reported
CE1121,Fb - 01,225.0,Brown,Brown,WOMEN,2022Q3,36.0,Ceramic
CE1122,Stella,205.0,Brown,Brown,WOMEN,2022Q3,30.0,Ceramic
FS5938,Bronson,125.0,Black,Brown,MEN,2022Q3,40.0,Leather
FS5940,Bronson,145.0,Black,Black,MEN,2022Q3,40.0,No band material reported
FS5946,Fossil blue,135.0,Silver,Tan,MEN,2022Q3,42.0,Leather
FS5947,Fossil blue,135.0,Silver,Black,MEN,2022Q3,42.0,Silicone
FS5948,Fossil blue,155.0,Silver,Silver,MEN,2022Q3,42.0,Mesh
FS5949,Fossil blue,155.0,Silver,Silver,MEN,2022Q3,42.0,Stainless Steel
FS5950,Fossil blue,155.0,Gold,Yellow,MEN,2022Q3,42.0,No band material reported
FS5951,Fossil blue,155.0,Two-tone,Two-Tone,MEN,2022Q3,42.0,No band material reported
FS5952,Fossil blue,155.0,Silver,Silver,MEN,2022Q3,42.0,Stainless Steel
LE1156,Fossil blue,195.0,Silver,Silver,MEN,2022Q3,42.0,Stainless Steel
FS5932,Inscription,145.0,Gold,Yellow,MEN,2022Q3,42.0,No band material reported
FS5933,Inscription,145.0,Silver,Silver,MEN,2022Q3,42.0,Stainless Steel
FS5934,Inscription,125.0,Smoke,Brown,MEN,2022Q3,42.0,Leather
FS5936,Machine,145.0,Brown,Brown,MEN,2022Q3,42.0,Mesh
FS5942,The minimalist,155.0,Gold,Brown,MEN,2022Q3,42.0,Leather
FS5943,The minimalist,175.0,Black,Black,MEN,2022Q3,42.0,Mesh
FS5944,The minimalist,175.0,Silver,Silver,MEN,2022Q3,42.0,Mesh
FS5941,Neutra,155.0,Brown,Brown,MEN,2022Q3,44.0,Leather
ME3221,Heritage,275.0,Silver,Brown,MEN,2022Q3,43.0,Leather
ME3223,Heritage,295.0,Silver,Silver,MEN,2022Q3,43.0,Stainless Steel
ME3224,Heritage,295.0,Silver,Silver,MEN,2022Q3,43.0,Stainless Steel
ME3222,Heritage,275.0,Rose gold,Black,MEN,2022Q3,43.0,Leather
ME3225,Townsman,235.0,Brown,Brown,MEN,2022Q3,44.0,Leather
ES5241,Carlie,125.0,Gold,Green,WOMEN,2022Q4,28.0,Leather
CE1123,Fb - 01,225.0,Brown,Brown,WOMEN,2022Q4,36.0,Ceramic
CE1124,Fb - 01,225.0,Green,Green,WOMEN,2022Q4,36.0,Ceramic
CE1125,Fb - 01,225.0,Blue,Blue,WOMEN,2022Q4,36.0,Ceramic
ME3235,Heritage,295.0,Gold,Yellow,WOMEN,2022Q4,38.0,No band material reported
ES5242,Jacqueline,135.0,Gold,Gold,WOMEN,2022Q4,36.0,Mesh
ES5244,Jacqueline,135.0,Gold,Green,WOMEN,2022Q4,36.0,No band material reported
ES5248,Jacqueline,155.0,Rose gold,Red,WOMEN,2022Q4,34.0,Leather
ES5239,Neutra,145.0,Gold,Green,WOMEN,2022Q4,36.0,Leather
ES5243,Stella,155.0,Gold,Green,WOMEN,2022Q4,37.0,Leather
ES5240,Scarlette,135.0,Two-tone,Two-Tone,WOMEN,2022Q4,32.0,No band material reported
ES5246,Ring watch,95.0,Gold,Yellow,WOMEN,2022Q4,15.0,No band material reported
ES5247,Ring watch,95.0,Rose gold,Rose,WOMEN,2022Q4,15.0,No band material reported
ES5245,Ring watch,95.0,Silver,Silver,WOMEN,2022Q4,15.0,Stainless Steel
ES5249SET,Daisy,175.0,Two-tone,Two-Tone,WOMEN,2022Q4,34.0,No band material reported
ES5250SET,Carlie,185.0,Silver,Silver,WOMEN,2022Q4,28.0,Stainless Steel
ES5251SET,Carlie,215.0,Gold,Gold,WOMEN,2022Q4,28.0,Mesh
ES5252SET,Jacqueline,205.0,Rose gold,Rose,WOMEN,2022Q4,36.0,No band material reported
FS5964,Everett,185.0,Silver,Silver,MEN,2022Q4,42.0,Stainless Steel
FS5965,Everett,155.0,Gold,Yellow,MEN,2022Q4,42.0,No band material reported
FS5960,Fossil blue,135.0,Silver,Black,MEN,2022Q4,42.0,Leather
FS5961,Fossil blue,135.0,Silver,Brown,MEN,2022Q4,42.0,Leather
ME3230,Heritage,295.0,Two-tone,Two-Tone,MEN,2022Q4,43.0,No band material reported
ME3231,Heritage,295.0,Silver,Silver,MEN,2022Q4,43.0,Stainless Steel
ME3232,Heritage,295.0,Gold,Yellow,MEN,2022Q4,43.0,No band material reported
ME3233,Heritage,275.0,Silver,Brown,MEN,2022Q4,43.0,Leather
ME3237,Inscription,255.0,Two-tone,Two-Tone,MEN,2022Q4,42.0,No band material reported
ME3238,Inscription,255.0,Black,Black,MEN,2022Q4,42.0,No band material reported
ME3239,Inscription,255.0,Gold,Yellow,MEN,2022Q4,42.0,No band material reported
FS5962,Machine,155.0,Silver,Brown,MEN,2022Q4,42.0,Leather
FS5963,Neutra,155.0,Silver,Brown,MEN,2022Q4,44.0,Leather
ME3234,Townsman,245.0,Silver,Brown,MEN,2022Q4,44.0,Leather
ME3240,Townsman,265.0,Gold,Gold,MEN,2022Q4,44.0,Mesh
FS5966SET,The minimalist,,Silver,Brown,MEN,2022Q4,44.0,Leather
FS5967SET,Townsman,,Silver,Brown,MEN,2022Q4,44.0,Leather
FS5968SET,Bronson,,Silver,Multicolor,MEN,2022Q4,50.0,Silicone
ES5183SET,Carlie,140.0,Gold,Gold,WOMEN,2022Q2,28.0,No band material reported
